i_trial, n_agents, t, converged, obj_trj,T,dt,radius,         SOVA_admm ,t_solve_avg, t_solve_std, MAX_ITER, dist_to_goal
41,3,1.4000000000000001,True,851.6304459725086,8,0.1,0.2,ilqr,"[100, 101, 102]","0.015785680761490808","0.00865106410150912","[[100], [101], [102]]","[0.08103840985278403, 0.021754803048928073, 0.09104656860231225]"
41,3,1.5000000000000002,True,899.3843856789335,8,0.1,0.2,centralized_mpc,0.43212920786681935, 0.07458292672671131, 3,[0.065 0.011 0.084],
41,3,1.5000000000000002,True,946.3957268302332,8,0.1,0.2,True,0.42725435895554253,0.019393179952244925,3,[0.078 0.01  0.097],
42,3,1.3,True,880.0035560483225,8,0.1,0.2,ilqr,"[100, 101, 102]","0.02078151746163479","0.012567147065082943","[[100], [101], [102]]","[0.09257998705285878, 0.020779770265563217, 0.08990355585209651]"
42,3,1.4000000000000001,True,763.7650557316076,8,0.1,0.2,centralized_mpc,0.4406578027859983, 0.10112205849796535, 3,[0.079 0.009 0.072],
42,3,1.4000000000000001,True,776.2861028528113,8,0.1,0.2,True,0.431212718095464,0.021919069512419648,3,[0.085 0.006 0.077],
43,3,1.2,True,836.5027423449353,8,0.1,0.2,ilqr,"[100, 101, 102]","0.01686311266651804","0.011024607139587392","[[100], [101], [102]]","[0.09789107540362321, 0.07669534091032117, 0.05865027531044808]"
43,3,1.3,True,658.517941175498,8,0.1,0.2,centralized_mpc,0.407542306461367, 0.05246898911977781, 3,[0.082 0.066 0.039],
43,3,1.3,True,663.2089144272736,8,0.1,0.2,True,0.40621089948725947,0.003078445565493994,3,[0.087 0.071 0.039],
44,3,1.0999999999999999,True,500.3227674310492,8,0.1,0.2,ilqr,"[100, 101, 102]","0.012501944181801235","0.010348991898851096","[[100], [101], [102]]","[0.04595080022720784, 0.07970293260190638, 0.06609511073956224]"
44,3,1.0999999999999999,True,494.93255786262205,8,0.1,0.2,centralized_mpc,0.393398016545358, 0.03924925761022357, 3,[0.042 0.079 0.064],
44,3,1.0999999999999999,True,499.35122545128013,8,0.1,0.2,True,0.4029305681818214,0.0017788650567330123,3,[0.043 0.081 0.067],
45,3,1.2,True,646.5714095067381,8,0.1,0.2,ilqr,"[100, 101, 102]","0.01220077730562884","0.004136092648697992","[[100], [101], [102]]","[0.09436860151311516, 0.0802899963314558, 0.07956496376181282]"
45,3,1.3,True,654.4600828105453,8,0.1,0.2,centralized_mpc,0.40648348692355707, 0.06585887067707263, 3,[0.077 0.063 0.071],
45,3,1.3,True,659.9494086448544,8,0.1,0.2,True,0.4067026992052911,0.0022911203219616568,3,[0.081 0.067 0.075],
46,3,0.9999999999999999,True,530.2635003714672,8,0.1,0.2,ilqr,"[100, 101, 102]","0.02533629803341076","0.0027179695920764037","[[100], [101, 102], [101, 102]]","[0.07163448326601239, 0.07591294988197404, 0.09849551605790788]"
46,3,1.0999999999999999,True,494.4309197890946,8,0.1,0.2,centralized_mpc,0.421222100546319, 0.0674012296840963, 3,[0.049 0.076 0.092],
46,3,1.2,True,516.1577680921916,8,0.1,0.2,True,0.5389736254995418,0.09644553217396586,3,[0.038 0.066 0.082],
47,3,1.3,True,748.3258628172125,8,0.1,0.2,ilqr,"[100, 101, 102]","0.020333223794855606","0.007630727500912611","[[100], [101], [102]]","[0.09170435610569633, 0.04460384015921664, 0.07159371714544999]"
47,3,1.4000000000000001,True,776.2505827684506,8,0.1,0.2,centralized_mpc,0.4365310260000115, 0.07959939068447416, 3,[0.094 0.028 0.054],
47,3,1.4000000000000001,True,797.2075154561211,8,0.1,0.2,True,0.5593711267147661,0.053201810877744025,3,[0.098 0.027 0.055],
48,3,0.8999999999999999,True,364.5625393819214,8,0.1,0.2,ilqr,"[100, 101, 102]","0.011340730925709338","0.005775780936573242","[[100], [101], [102]]","[0.06040095813614328, 0.08066801940873765, 0.017853476486418746]"
48,3,0.8999999999999999,True,362.36391024424876,8,0.1,0.2,centralized_mpc,0.38701397411083843, 0.0329562574751042, 3,[0.057 0.077 0.016],
48,3,0.8999999999999999,True,366.80608699805884,8,0.1,0.2,True,0.4009593558888203,0.002081966906681422,3,[0.057 0.078 0.017],
49,3,0.8999999999999999,True,746.1785710691627,8,0.1,0.2,ilqr,"[100, 101, 102]","0.01744084240703227","0.0071435361155698825","[[100], [101], [102]]","[0.07253128552816011, 0.09787317632622407, 0.05888529668271323]"
49,3,1.0999999999999999,True,433.19789145611475,8,0.1,0.2,centralized_mpc,0.39056482218240324, 0.0385813364012358, 3,[0.038 0.083 0.031],
49,3,1.0999999999999999,True,435.75476042923304,8,0.1,0.2,True,0.40251120569695503,0.001712399136218871,3,[0.037 0.084 0.033],
50,3,0.6,True,294.360974816301,8,0.1,0.2,ilqr,"[100, 101, 102]","0.013296903110838483","0.00988055552289196","[[100], [101], [102]]","[0.07731028232760148, 0.09180602910400325, 0.08412994791899685]"
50,3,0.6,True,307.8345722961433,8,0.1,0.2,centralized_mpc,0.38830388816616807, 0.0309736213098648, 3,[0.078 0.092 0.085],
50,3,0.6,True,311.69860417075756,8,0.1,0.2,True,0.40009198372192456,0.000570859778696863,3,[0.082 0.095 0.087],
51,3,1.3,True,600.8700356608118,8,0.1,0.2,ilqr,"[100, 101, 102]","0.014832291230936209","0.007776099102145408","[[100], [101], [102]]","[0.08442766539876585, 0.0519499991494276, 0.03551459466497035]"
51,3,1.4000000000000001,True,612.4298061341776,8,0.1,0.2,centralized_mpc,0.41836014028506596, 0.06546987810747144, 3,[0.076 0.038 0.024],
51,3,1.3,True,624.3957547190424,8,0.1,0.2,True,0.4557991927949143,0.03795144553571407,3,[0.099 0.049 0.031],
52,3,1.0999999999999999,True,481.72001579615335,8,0.1,0.2,ilqr,"[100, 101, 102]","0.01212072639409047","0.012106915327351385","[[100], [101], [102]]","[0.07088904436248765, 0.04424174838681048, 0.07268826874144804]"
52,3,0.9999999999999999,True,534.8929476334245,8,0.1,0.2,centralized_mpc,0.39908816360002675, 0.044394656578147895, 3,[0.098 0.052 0.096],
52,3,1.0999999999999999,True,492.69720080556027,8,0.1,0.2,True,0.40339146154567995,0.002266313759513142,3,[0.079 0.043 0.068],
53,3,1.2,True,627.6850748333962,8,0.1,0.2,ilqr,"[100, 101, 102]","0.01370694983324938","0.007777321306719352","[[100], [101], [102]]","[0.08099993107545739, 0.04371211465655769, 0.08855597253477403]"
53,3,1.3,True,612.9878378068495,8,0.1,0.2,centralized_mpc,0.40576198953875486, 0.04831735044626622, 3,[0.064 0.028 0.077],
53,3,1.3,True,616.7375509590111,8,0.1,0.2,True,0.4057875875642378,0.003761746575688844,3,[0.068 0.027 0.082],
