i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,radius,centralized,t_solve,dist_to_goal,
29,5,2.7,0,TRUE,5221.857,10,0.1,0.25,TRUE,17.7513595,[0.041 0.085 0.053 0.039 0.099],
29,5,2.8,0,TRUE,5262.224,10,0.1,0.25,FALSE,16.2352019,[0.037 0.083 0.066 0.036 0.093],
0,6,3.1,0,TRUE,[9323.278],15,0.1,0.25,TRUE,37.5218706,0.930864297,[0.091 0.042 0.039 0.091 0.031 0.035]
0,6,5,42,FALSE,None,15,0.1,0.25,FALSE,None,0.25403915,[1.445 1.615 1.323 1.449 1.465 1.629]
1,6,3,0,TRUE,[10359.358],15,0.1,0.25,TRUE,32.6992716,0.808868393,[0.08  0.099 0.069 0.052 0.056 0.043]
1,6,3.1,0,TRUE,[10456.56],15,0.1,0.25,FALSE,36.6110489,0.123394595,[0.072 0.094 0.063 0.049 0.051 0.039]
2,6,3.2,0,TRUE,[15150.386],15,0.1,0.25,TRUE,31.8859215,0.716237894,[0.078 0.043 0.056 0.057 0.07  0.094]
2,6,3.3,0,TRUE,[15485.773],15,0.1,0.25,FALSE,38.6189827,0.13034322,[0.071 0.039 0.054 0.053 0.068 0.093]
3,6,0.9,1,FALSE,None,15,0.1,0.25,TRUE,None,,
3,6,5,44,FALSE,None,15,0.1,0.25,FALSE,None,0.081025678,[0.008 1.118 1.568 1.407 1.225 0.962]
4,6,3.1,0,TRUE,[11031.814],15,0.1,0.25,TRUE,47.6612671,1.257338913,[0.086 0.059 0.05  0.065 0.016 0.095]
4,6,3.2,0,TRUE,[11226.397],15,0.1,0.25,FALSE,56.5952036,0.209348507,[0.079 0.056 0.046 0.062 0.014 0.092]
5,6,2.6,0,TRUE,[3600.605],15,0.1,0.25,TRUE,46.7757576,1.518379346,[0.065 0.08  0.087 0.099 0.069 0.055]
5,6,5,39,FALSE,None,15,0.1,0.25,FALSE,None,0.094942401,[0.006 0.008 1.252 1.266 1.199 1.56 ]
6,6,3.1,0,TRUE,[11765.098],15,0.1,0.25,TRUE,30.4784235,0.702641413,[0.015 0.07  0.095 0.081 0.032 0.067]
6,6,3.2,0,TRUE,[12074.68],15,0.1,0.25,FALSE,24.0693674,0.069407257,[0.013 0.066 0.093 0.077 0.029 0.065]
7,6,3.2,0,TRUE,[13711.795],15,0.1,0.25,TRUE,29.7272363,0.648793669,[0.067 0.074 0.018 0.091 0.049 0.067]
7,6,3.3,0,TRUE,[14133.23],15,0.1,0.25,FALSE,29.2575953,0.085049051,[0.061 0.072 0.017 0.092 0.044 0.064]
8,6,3.1,0,TRUE,[13285.324],15,0.1,0.25,TRUE,30.2252768,0.694379781,[0.091 0.075 0.037 0.077 0.075 0.063]
8,6,3.1,0,TRUE,[13557.269],15,0.1,0.25,FALSE,20.3113157,0.059494742,[0.091 0.078 0.037 0.083 0.081 0.066]
9,6,2.9,0,TRUE,[9858.75],15,0.1,0.25,TRUE,27.8152265,0.678269055,[0.081 0.074 0.081 0.05  0.055 0.096]
9,6,3,0,TRUE,[10008.044],15,0.1,0.25,FALSE,21.1793584,0.064566071,[0.073 0.071 0.077 0.046 0.052 0.091]
10,6,0,1,FALSE,None,15,0.1,0.25,TRUE,None,,
10,6,5,50,FALSE,None,15,0.1,0.25,FALSE,None,0.040455764,[0.01  1.219 1.922 1.542 0.99  1.24 ]
11,6,3.4,0,TRUE,[18160.835],15,0.1,0.25,TRUE,36.0287062,0.765902268,[0.054 0.02  0.073 0.061 0.029 0.098]
11,6,3.6,0,TRUE,[18951.723],15,0.1,0.25,FALSE,23.7800227,0.057325304,[0.044 0.016 0.065 0.054 0.024 0.091]
12,6,3.1,0,TRUE,[8902.93],15,0.1,0.25,TRUE,28.8553061,0.626949652,[0.035 0.094 0.047 0.055 0.024 0.063]
12,6,3.2,0,TRUE,[9105.96],15,0.1,0.25,FALSE,22.7994233,0.06042564,[0.032 0.091 0.043 0.052 0.022 0.06 ]
13,6,3,0,TRUE,[8302.493],15,0.1,0.25,TRUE,41.5196441,1.082326113,[0.043 0.071 0.054 0.039 0.097 0.054]
13,6,3.1,0,TRUE,[8451.22],15,0.1,0.25,FALSE,40.0323194,0.143114927,[0.039 0.068 0.053 0.036 0.092 0.05 ]
14,6,3.1,0,TRUE,[7823.065],15,0.1,0.25,TRUE,33.1066915,0.754875071,[0.093 0.026 0.029 0.045 0.048 0.062]
14,6,3.1,0,TRUE,[7866.792],15,0.1,0.25,FALSE,32.6440936,0.10438854,[0.093 0.026 0.029 0.045 0.049 0.065]
15,6,2.9,0,TRUE,[8206.703],15,0.1,0.25,TRUE,31.7011271,0.762820676,[0.05  0.092 0.056 0.073 0.08  0.044]
15,6,2.9,0,TRUE,[8292.202],15,0.1,0.25,FALSE,38.8159832,0.142646845,[0.05  0.094 0.056 0.076 0.083 0.045]
16,6,0,1,FALSE,None,15,0.1,0.25,TRUE,None,,
16,6,5,50,FALSE,None,15,0.1,0.25,FALSE,None,0.045287292,[0.007 1.489 0.944 1.67  0.644 1.97 ]
17,6,3.1,0,TRUE,[12582.768],15,0.1,0.25,TRUE,35.0787925,0.825121819,[0.068 0.074 0.031 0.069 0.057 0.096]
17,6,5,35,FALSE,None,15,0.1,0.25,FALSE,None,0.070165861,[0.01  0.011 1.416 0.971 1.589 1.509]
18,6,2.9,0,TRUE,[12340.668],15,0.1,0.25,TRUE,32.8171848,0.800430834,[0.074 0.09  0.056 0.093 0.093 0.088]
18,6,2.9,0,TRUE,[12605.444],15,0.1,0.25,FALSE,27.9148484,0.093344436,[0.074 0.093 0.057 0.098 0.099 0.094]
19,6,2.9,0,TRUE,[11008.302],15,0.1,0.25,TRUE,33.5453044,0.827885083,[0.077 0.002 0.092 0.091 0.088 0.081]
19,6,2.9,0,TRUE,[11234.494],15,0.1,0.25,FALSE,26.996763,0.089817566,[0.076 0.002 0.097 0.093 0.094 0.086]
20,6,3.3,0,TRUE,[10292.072],15,0.1,0.25,TRUE,52.8574382,1.274411312,[0.04  0.053 0.039 0.073 0.095 0.073]
